,name,serving_wt,kcal,carbo,protein,fat,sugars,sodium,chol,saturated_fatty_acid,trans_fatty_acid,year,company
0,"고량미,알곡",100,349,67.8,10.1,3.7,N/A,N/A,N/A,N/A,N/A,2001,
1,"겉귀리,생것",100,373,73.5,11.4,3.7,N/A,2,0,N/A,N/A,2011,
2,"겉귀리,생것",100,332,73.5,11.4,3.7,N/A,2,N/A,N/A,N/A,2017,
3,"쌀귀리,생것",100,371,70.4,14.3,3.8,N/A,3,N/A,N/A,N/A,2011,
4,"쌀귀리,생것",100,334,70.4,14.3,3.8,N/A,3,N/A,N/A,N/A,2017,
5,오트밀,100,382,64.9,13.2,8.2,N/A,4,0,N/A,N/A,2011,
6,오트밀,100,348,64.9,13.2,8.2,N/A,4,N/A,N/A,N/A,2017,
7,"기장,생것",100,367,74.6,11.2,1.9,N/A,6,0,N/A,N/A,2011,
8,"기장,생것",100,360,74.6,11.2,1.9,N/A,6,N/A,N/A,N/A,2017,
9,"메밀,생것",100,374,74.7,11.5,2.3,N/A,14,0,0.59,N/A,2011,
10,"메밀,생것",100,345,67.84,13.64,3.38,0.5,1,0,0.71,N/A,2017,
11,메밀가루,100,364,69.6,13.4,2.8,N/A,27,0,N/A,N/A,2011,
12,메밀가루,100,355,71.36,12.96,3.29,0.37,1,0,0.7,N/A,2017,
13,"메밀국수,생면",100,276,61.4,7.3,0.1,N/A,1023,0,N/A,N/A,2011,
14,"메밀국수,생면",100,274,61.14,7.59,0.96,0,455,0,0.27,N/A,2017,
15,"메밀국수,생면,삶은것",100,142,28.7,6.6,0.1,N/A,183,0,N/A,N/A,2011,
16,"메밀국수,생면,삶은것",100,117,25.73,3.54,0.44,0,38,0,0.13,N/A,2017,
17,"메밀국수,건면",100,344,66.7,14,2.3,N/A,850,N/A,N/A,N/A,2011,
18,"메밀국수,건면",100,352,74.41,13.58,1.27,2.77,707,0,0.38,N/A,2017,
19,"메밀국수,건면,삶은것",100,114,22.1,4.8,0.7,N/A,50,N/A,N/A,N/A,2011,
20,"메밀국수,건면,삶은것",100,108,22.65,4.28,0.4,0,35,0,0.12,N/A,2017,
21,"메밀가공(면류),메밀냉면,인스턴트,마른것",100,339,73.66,10.74,1.44,0,628,0,0.34,N/A,2017,
22,"메밀가공(면류),메밀냉면,인스턴트,마른것",100,352,74.3,10.5,1.4,N/A,398,N/A,N/A,N/A,2011,
23,통밀,100,372,74.6,13.2,1.5,N/A,20,N/A,N/A,N/A,2006,
24,통밀,100,330,74.6,13.2,1.5,N/A,N/A,N/A,N/A,N/A,2017,
25,밀쌀,90,292.5,68.22,9.54,0.9,N/A,15.3,N/A,N/A,N/A,2006,
26,강력밀가루,100,364,73.4,12.7,0.5,N/A,32,0,N/A,N/A,2011,
27,강력밀가루,100,322,72.89,13.59,1.11,0,1,0,0.27,N/A,2017,
28,중력밀가루,100,370,74.1,11.5,1.1,N/A,19,0,N/A,N/A,2011,
29,중력밀가루,100,383,76.64,10.34,1.01,0,1,0,0.26,N/A,2017,
30,박력밀가루,100,370,77.5,8.7,0.8,N/A,2,0,N/A,N/A,2011,
31,박력밀가루,100,378,77.5,8.7,0.8,N/A,2,N/A,N/A,N/A,2017,
