name,serving_wt,kcal,carbo,protein,fat,company
"고량미,알곡",100,349,67.8,10.1,3.7, 
"겉귀리,생것",100,373,73.5,11.4,3.7, 
"겉귀리,생것",100,332,73.5,11.4,3.7, 
"쌀귀리,생것",100,371,70.4,14.3,3.8, 
"쌀귀리,생것",100,334,70.4,14.3,3.8, 
오트밀,100,382,64.9,13.2,8.2, 
오트밀,100,348,64.9,13.2,8.2, 
"기장,생것",100,367,74.6,11.2,1.9, 
"기장,생것",100,360,74.6,11.2,1.9, 
"메밀,생것",100,374,74.7,11.5,2.3, 
"메밀,생것",100,345,67.84,13.64,3.38, 
메밀가루,100,364,69.6,13.4,2.8, 
메밀가루,100,355,71.36,12.96,3.29, 
"메밀국수,생면",100,276,61.4,7.3,0.1, 
"메밀국수,생면",100,274,61.14,7.59,0.96, 
"메밀국수,생면,삶은것",100,142,28.7,6.6,0.1, 
"메밀국수,생면,삶은것",100,117,25.73,3.54,0.44, 
"메밀국수,건면",100,344,66.7,14,2.3, 
"메밀국수,건면",100,352,74.41,13.58,1.27, 
"메밀국수,건면,삶은것",100,114,22.1,4.8,0.7, 
"메밀국수,건면,삶은것",100,108,22.65,4.28,0.4, 
"메밀가공(면류),메밀냉면,인스턴트,마른것",100,339,73.66,10.74,1.44, 
"메밀가공(면류),메밀냉면,인스턴트,마른것",100,352,74.3,10.5,1.4, 
통밀,100,372,74.6,13.2,1.5, 
통밀,100,330,74.6,13.2,1.5, 
밀쌀,90,292.5,68.22,9.54,0.9, 
강력밀가루,100,364,73.4,12.7,0.5, 
강력밀가루,100,322,72.89,13.59,1.11, 
중력밀가루,100,370,74.1,11.5,1.1, 
중력밀가루,100,383,76.64,10.34,1.01, 
박력밀가루,100,370,77.5,8.7,0.8, 
박력밀가루,100,378,77.5,8.7,0.8, 
당근케이크가루,40,166,31.68,2.04,3.92, 
통밀가루,100,326,71.5,11.9,1.6, 
통밀가루,100,372,71.5,11.9,1.6, 
도우넛가루,100,412,73.9,8.5,6.8, 
도우넛가루,100,391,73.9,8.5,6.8, 
부침가루,100,382,72,20.6,1.3, 
부침가루,100,376,75.52,9.8,0.98, 
빵가루,100,400,77.04,11.95,2.05, 
빵가루,100,380,72.4,14.2,3.7, 
"밀가공(가루),튀김가루",100,328,76.8,7.3,1.5, 
