id,name,serving_wt,kcal,carbo,protein,fat,company
1,"고량미,알곡",100.0,349.0,67.8,10.1,3.7, 
2,"겉귀리,생것",100.0,373.0,73.5,11.4,3.7, 
3,"겉귀리,생것",100.0,332.0,73.5,11.4,3.7, 
4,"쌀귀리,생것",100.0,371.0,70.4,14.3,3.8, 
5,"쌀귀리,생것",100.0,334.0,70.4,14.3,3.8, 
6,오트밀,100.0,382.0,64.9,13.2,8.2, 
7,오트밀,100.0,348.0,64.9,13.2,8.2, 
8,"기장,생것",100.0,367.0,74.6,11.2,1.9, 
9,"기장,생것",100.0,360.0,74.6,11.2,1.9, 
10,"메밀,생것",100.0,374.0,74.7,11.5,2.3, 
11,"메밀,생것",100.0,345.0,67.84,13.64,3.38, 
12,메밀가루,100.0,364.0,69.6,13.4,2.8, 
13,메밀가루,100.0,355.0,71.36,12.96,3.29, 
14,"메밀국수,생면",100.0,276.0,61.4,7.3,0.1, 
15,"메밀국수,생면",100.0,274.0,61.14,7.59,0.96, 
16,"메밀국수,생면,삶은것",100.0,142.0,28.7,6.6,0.1, 
17,"메밀국수,생면,삶은것",100.0,117.0,25.73,3.54,0.44, 
18,"메밀국수,건면",100.0,344.0,66.7,14,2.3, 
19,"메밀국수,건면",100.0,352.0,74.41,13.58,1.27, 
20,"메밀국수,건면,삶은것",100.0,114.0,22.1,4.8,0.7, 
21,"메밀국수,건면,삶은것",100.0,108.0,22.65,4.28,0.4, 
22,"메밀가공(면류),메밀냉면,인스턴트,마른것",100.0,339.0,73.66,10.74,1.44, 
23,"메밀가공(면류),메밀냉면,인스턴트,마른것",100.0,352.0,74.3,10.5,1.4, 
24,통밀,100.0,372.0,74.6,13.2,1.5, 
25,통밀,100.0,330.0,74.6,13.2,1.5, 
26,밀쌀,90.0,292.5,68.22,9.54,0.9, 
27,강력밀가루,100.0,364.0,73.4,12.7,0.5, 
28,강력밀가루,100.0,322.0,72.89,13.59,1.11, 
29,중력밀가루,100.0,370.0,74.1,11.5,1.1, 
30,중력밀가루,100.0,383.0,76.64,10.34,1.01, 
31,박력밀가루,100.0,370.0,77.5,8.7,0.8, 
32,박력밀가루,100.0,378.0,77.5,8.7,0.8, 
33,당근케이크가루,40.0,166.0,31.68,2.04,3.92, 
34,통밀가루,100.0,326.0,71.5,11.9,1.6, 
35,통밀가루,100.0,372.0,71.5,11.9,1.6, 
36,도우넛가루,100.0,412.0,73.9,8.5,6.8, 
37,도우넛가루,100.0,391.0,73.9,8.5,6.8, 
38,부침가루,100.0,382.0,72,20.6,1.3, 
39,부침가루,100.0,376.0,75.52,9.8,0.98, 
40,빵가루,100.0,400.0,77.04,11.95,2.05, 
41,빵가루,100.0,380.0,72.4,14.2,3.7, 
42,"밀가공(가루),튀김가루",100.0,328.0,76.8,7.3,1.5, 
43,"밀가공(가루),튀김가루",100.0,376.0,78.41,7.22,0.8, 
44,"밀가공(가루),팬케이크가루",100.0,402.0,75.9,7.9,4.9, 
45,"밀가공(가루),팬케이크가루",100.0,379.0,75.9,7.9,4.9, 
