name,serving_wt,kcal,carbo,protein,fat,year,company
"고량미,알곡",100.0,349.0,67.8,10.1,3.7,2001, 
"겉귀리,생것",100.0,332.0,73.5,11.4,3.7,2017, 
"쌀귀리,생것",100.0,334.0,70.4,14.3,3.8,2017, 
오트밀,100.0,348.0,64.9,13.2,8.2,2017, 
"기장,생것",100.0,360.0,74.6,11.2,1.9,2017, 
"메밀,생것",100.0,345.0,67.84,13.64,3.38,2017, 
메밀가루,100.0,355.0,71.36,12.96,3.29,2017, 
"메밀국수,생면",100.0,274.0,61.14,7.59,0.96,2017, 
"메밀국수,생면,삶은것",100.0,117.0,25.73,3.54,0.44,2017, 
"메밀국수,건면",100.0,352.0,74.41,13.58,1.27,2017, 
"메밀국수,건면,삶은것",100.0,108.0,22.65,4.28,0.4,2017, 
"메밀가공(면류),메밀냉면,인스턴트,마른것",100.0,339.0,73.66,10.74,1.44,2017, 
"메밀가공(면류),메밀냉면,인스턴트,마른것",100.0,352.0,74.3,10.5,1.4,2011, 
통밀,100.0,330.0,74.6,13.2,1.5,2017, 
밀쌀,90.0,292.5,68.22,9.54,0.9,2006, 
강력밀가루,100.0,322.0,72.89,13.59,1.11,2017, 
중력밀가루,100.0,383.0,76.64,10.34,1.01,2017, 
박력밀가루,100.0,378.0,77.5,8.7,0.8,2017, 
당근케이크가루,40.0,166.0,31.68,2.04,3.92,2011, 
통밀가루,100.0,372.0,71.5,11.9,1.6,2017, 
도우넛가루,100.0,412.0,73.9,8.5,6.8,2017, 
도우넛가루,100.0,391.0,73.9,8.5,6.8,2011, 
부침가루,100.0,376.0,75.52,9.8,0.98,2017, 
빵가루,100.0,400.0,77.04,11.95,2.05,2017, 
빵가루,100.0,380.0,72.4,14.2,3.7,2011, 
"밀가공(가루),튀김가루",100.0,376.0,78.41,7.22,0.8,2017, 
"밀가공(가루),팬케이크가루",100.0,402.0,75.9,7.9,4.9,2017, 
"밀가공(가루),팬케이크가루",100.0,379.0,75.9,7.9,4.9,2011, 
국수,100.0,374.0,74,10.31,1.3,2017, 
"국수,삶은것",100.0,126.0,24.87,3.49,0.41,2017, 
"소면,건면",100.0,378.0,74.86,10.36,1.27,2017, 
"소면,건면,삶은것",100.0,128.0,25.31,3.55,0.48,2017, 
"라면,건면",100.0,452.0,69.05,8.23,14.28,2017, 
"라면,조리",100.0,101.0,18.5,2.2,2,2017, 
진라면매운맛,100.0,369.0,78.69,8.59,2.22,2017, 
"마카로니,건면",100.0,388.0,77.1,12.2,0.4,2017, 
"마카로니,건면,삶은것",100.0,129.0,25.8,3.8,0.2,2017, 
"스파게티,건면",100.0,365.0,76.64,11.78,1.28,2017, 
"스파게티,건면,삶은것",100.0,132.0,26.9,3.8,0,2017, 
우동,200.0,168.0,34.8,4.8,0.4,2006, 
"우동,생면",100.0,167.0,33.09,3.33,1.25,2017, 
"우동,생면,삶은것",100.0,142.0,29.12,2.95,0.46,2017, 
"냄비우동,냉동",100.0,206.0,43.9,6,0.7,2011, 
울면,200.0,860.0,118.6,26.4,31,2001, 
"중국국수,생면",100.0,281.0,55.7,8.6,1.2,2017, 
"중국국수,생면,삶은것",100.0,149.0,29.2,4.9,0.6,2017, 
"중국국수,증숙면",100.0,198.0,38.4,5.3,1.7,2017, 
중국국수,100.0,356.0,67.1,10.3,5.2,2017, 
"중국국수,삶은것",100.0,148.0,28.6,5.2,0.6,2017, 
쫄면,100.0,355.0,71.29,9.16,1.08,2017, 
"칼국수,생면",100.0,310.0,63.02,7.25,0.87,2017, 
"칼국수,반건면",100.0,287.0,57.5,6.4,1.4,2017, 
"칼국수,건조",100.0,330.0,74.5,9.6,0.5,2006, 
건빵,100.0,419.0,75.37,9.92,8.67,2017, 
건포도빵,100.0,269.0,51.1,8.2,3.5,2017, 
곰보빵,100.0,415.0,61.44,9.5,14.54,2017, 
곰보빵,100.0,380.0,56.5,8.8,13.2,2011, 
"도우넛,링",100.0,426.0,40.6,7.3,26,2017, 
"도우넛,링",100.0,426.0,40.6,7.3,26,2011, 
"도우넛,이스트",70.0,271.6,30.8,4.9,14.28,2011, 
"도우넛,케이크",70.0,262.5,42.21,4.9,8.26,2011, 
"도우넛,팥",100.0,347.0,45.7,6.6,15.3,2017, 
"도우넛,팥",100.0,347.0,45.7,6.6,15.3,2011, 
소프트롤빵,100.0,316.0,48.6,10.1,9,2017, 
하드롤빵,100.0,293.0,52.7,9.9,4.3,2017, 
마늘빵,100.0,424.0,57.5,9.8,17.2,2017, 
"만주,밤",100.0,330.0,70.86,6.35,2.39,2017, 
우유머핀,100.0,296.0,41.4,6.9,11.4,2017, 
잉글리쉬머핀,100.0,235.0,46,7.7,1.8,2017, 
"밀가공(빵류),모카빵",100.0,354.0,63.29,8.31,7.53,2017, 
달걀베이글,100.0,278.0,53,10.6,2.1,2017, 
식빵,100.0,279.0,49.68,9.01,4.91,2017, 
옥수수식빵,100.0,270.0,50.45,9.44,3.42,2017, 
우유식빵,100.0,285.0,48.7,9.1,6,2017, 
토스트식빵,100.0,266.0,49.37,9.35,3.5,2017, 
옥수수빵,100.0,321.0,49.1,7.4,10.2,2017, 
잼빵,100.0,297.0,54.5,6.6,5.8,2017, 
크로아상,100.0,448.0,43.9,7.9,26.8,2017, 
크로아상,100.0,448.0,43.9,7.9,26.8,2017, 
버터크로아상,100.0,406.0,45.8,8.2,21,2017, 
"밀가공(빵류),크림빵",100.0,275.0,45.5,6,7.7,2017, 
버터크림빵,100.0,383.0,46.2,8.2,18.4,2017, 
버터크림빵,100.0,383.0,46.2,8.2,18.4,2011, 
"밀가공(빵류),팥빵",100.0,253.0,48.51,7.57,3.17,2017, 
패이스트리,100.0,457.0,46.5,8.6,26.3,2017, 
패이스트리,100.0,457.0,46.5,8.6,26.3,2011, 
과일패이스트리,100.0,371.0,47.8,5.4,18.5,2017, 
치즈패이스트리,100.0,374.0,37.2,8,21.9,2017, 
고기호빵,70.0,175.7,30.52,6.44,3.08,2006, 
팥찐빵,100.0,213.0,44.36,5.96,1.29,2017, 
호밀빵,100.0,264.0,52.7,8.4,2.2,2017, 
초코파이,100.0,428.0,67.59,4.29,15.57,2017, 
초코파이,100.0,441.0,63.6,4.4,18.8,2011, 
슈크림빵,70.0,170.8,18.48,4.27,2.38,2006, 
와플,100.0,291.0,32.9,7.9,14.1,2017, 
와플잼,100.0,287.0,57.3,4.8,4.2,2017, 
와플커스터드크림,100.0,252.0,38.1,7.3,7.9,2017, 
팬케이크,100.0,227.0,28.3,6.4,9.7,2017, 
카스텔라,100.0,299.0,59.46,6.91,3.72,2017, 
카스텔라,100.0,324.0,55.1,6.7,8.5,2011, 
감카스텔라,70.0,238.0,36.96,4.83,7.84,2011, 
달걀커스타드,100.0,105.0,10.7,5,4.6,2011, 
꽈배기,100.0,404.0,47.2,7.9,20.4,2017, 
꽈배기,100.0,404.0,47.2,7.9,20.4,2011, 
모닝빵,100.0,316.0,58.99,9.06,4.91,2017, 
모닝빵,100.0,331.0,52.1,9.9,9.3,2011, 
바게트빵,100.0,279.0,57.5,9.4,1.3,2017, 
단호박소찐빵,100.0,239.0,52.4,5.4,0.9,2017, 
채소찐빵,100.0,231.0,37.3,8.1,5.5,2017, 
배케이크,100.0,296.0,43.5,6.2,10.8,2017, 
채소크로켓,100.0,301.0,31.2,7.1,16.4,2017, 
채소크로켓,100.0,301.0,31.2,7.1,16.4,2011, 
소프트비스킷,100.0,489.0,60.34,5.7,24.93,2017, 
비스킷하드,100.0,534.0,62.63,6.68,28.58,2017, 
사과파이,100.0,471.0,64.98,5.5,21,2017, 
피칸파이,100.0,360.0,43.2,8,17.2,2017, 
달걀치즈샌드위치,150.0,349.5,26.7,16.05,19.95,2011, 
닭고기샌드위치,100.0,250.0,20.81,16.28,11.19,2017, 
생선샌드위치,100.0,257.0,26.69,10.29,12.45,2017, 
소고기샌드위치,100.0,244.0,22.21,15.17,10.3,2017, 
햄치즈샌드위치,100.0,218.0,24.8,7.4,9.9,2017, 
햄치즈샌드위치,100.0,218.0,24.8,7.4,9.9,2011, 
샌드위치,150.0,181.5,1.8,12.75,3,2006, 
센베이,100.0,398.0,84,7.5,3.5,2017, 
"센베이,김",100.0,420.0,82.8,6.7,6.9,2017, 
쌀과자,100.0,469.0,78.2,3.2,15.9,2017, 
찹쌀전병,100.0,446.0,79.6,7.8,10.7,2017, 
찹쌀전병,100.0,446.0,79.6,7.8,10.7,2011, 
튀김쌀과자,30.0,139.5,21.36,1.71,5.25,2011, 
감자스넥,100.0,536.0,60.92,4.95,30.33,2017, 
밀가루스넥,40.0,192.8,27.52,2.92,7.88,2011, 
새우스넥,100.0,494.0,66.32,6.04,22.77,2017, 
새우스넥,100.0,537.0,59.5,5.3,30.9,2011, 
옥수수스넥,100.0,520.0,65.73,5.25,26.27,2017, 
초코볼,100.0,501.0,70.2,4.3,22.5,2017, 
초코볼,100.0,501.0,70.2,4.3,22.5,2011, 
콘칩,100.0,538.0,56.9,6.17,33.36,2017, 
팝콘,100.0,536.0,57.6,7.6,30.6,2017, 
팝콘,100.0,536.0,57.6,7.6,30.6,2011, 
"스넥과자,유아용",30.0,129.9,20.13,3.54,3.96,2006, 
웨하스,100.0,521.0,65.6,4.1,26.9,2017, 
웨하스,100.0,521.0,65.6,4.1,26.9,2011, 
땅콩버터쿠키,100.0,493.0,67.97,8.36,20.87,2017, 
초코칩쿠키,100.0,494.0,71.38,5.92,20.55,2017, 
초코칩쿠키,100.0,526.0,64.7,5,27.5,2011, 
버터쿠키,100.0,512.0,66.47,6.37,24.52,2017, 
약과,100.0,422.0,71.7,3.8,13.3,2017, 
크랙커,100.0,513.0,58.8,7,27.8,2017, 
크랙커,100.0,513.0,58.8,7,27.8,2011, 
땅콩샌드,100.0,524.0,64.23,7.66,26.24,2017, 
치즈샌드,100.0,497.0,68.24,6.08,22.23,2017, 
튀김용옥수수,100.0,289.0,76.3,11.5,4.1,2017, 
모나카,100.0,346.0,82.62,3.35,0.29,2017, 
모나카,100.0,335.0,77.2,3.3,1.4,2011, 
당근케이크,70.0,290.5,55.44,3.57,6.86,2006, 
"밀가공(빵류),케이크,롤",100.0,369.0,39.24,7.51,20.22,2017, 
블루베리생크림케이크,100.0,280.0,24.39,3.03,18.88,2017, 
블루베리생크림케이크,100.0,249.0,32.2,2.9,12.1,2011, 
쇼튼드케이크,100.0,327.0,43.6,7.1,13.8,2017, 
스펀지케이크,100.0,352.0,47.2,6.6,15.2,2017, 
스펀지케이크,100.0,352.0,47.2,6.6,15.2,2011, 
엔젤푸드케이크,100.0,258.0,57.8,5.9,0.8,2017, 
초콜렛케이크,100.0,417.0,49.31,5.23,22.09,2017, 
초콜렛케이크,100.0,453.0,40.2,4.7,30.4,2011, 
치즈케이크,100.0,331.0,28.82,5.87,21.32,2017, 
컵케이크,70.0,213.5,47.04,3.01,2.59,2011, 
파운드케이크,100.0,408.0,49.65,5.66,20.71,2017, 
파운드케이크,100.0,414.0,46.7,5.6,22.8,2011, 
과일케이크,100.0,324.0,61.6,2.9,9.1,2017, 
크로켓,100.0,307.0,29.7,6,18.2,2017, 
크로켓,100.0,307.0,29.7,6,18.2,2011, 
"감자크로켓,냉동",100.0,164.0,25.3,4.6,4.9,2017, 
"채소크로켓,냉동",100.0,264.0,34,3,12.9,2017, 
"크림크로켓,냉동",100.0,159.0,20.9,4.7,6.3,2017, 
바닐라우유푸딩,100.0,114.0,19.7,2.7,2.9,2017, 
커스터드푸딩,100.0,126.0,14.7,5.5,5,2017, 
피자,150.0,403.5,45.15,18.15,17.85,2006, 
"디럭스피자,냉동",150.0,346.5,29.85,15,18.6,2001, 
"스페셜디럭스피자,냉동",150.0,391.5,37.2,13.95,20.7,2001, 
"페퍼로니피자,냉동",150.0,444.0,42.75,16.8,22.8,2011, 
페페로니피자,150.0,444.0,42.75,16.8,22.8,2006, 
"버섯피자,냉동",150.0,348.0,35.4,16.35,15.6,2001, 
"슈프림피자,냉동",100.0,233.0,30.4,11.3,7.3,2017, 
"슈퍼슈프림피자,냉동",100.0,233.0,30.4,11.3,7.3,2017, 
"콤비네이션피자,냉동",150.0,372.0,39.15,12.75,18.3,2001, 
핫도그,100.0,247.0,18.4,10.6,14.8,2006, 
"핫도그,냉동",100.0,267.0,34.97,8.09,10.55,2017, 
햄버거,100.0,271.0,35.76,11.94,8.94,2017, 
햄버거,100.0,235.0,25.4,11.3,9.8,2011, 
치즈버거,150.0,454.5,44.85,22.65,20.85,2011, 
"보리,겉보리, 보리쌀",100.0,316.0,74.39,9.3,1.81,2017, 
보리압맥,100.0,316.0,75.38,8.74,1.66,2017, 
보리할맥,100.0,327.0,77.71,9.3,1.67,2017, 
볶은보리,100.0,335.0,74.1,12.7,2.6,2017, 
보리가루,100.0,338.0,76.09,10.95,2.99,2017, 
보리밥,210.0,294.0,67.41,6.09,0.63,2001, 
미숫가루,100.0,374.0,76.17,14.52,5.48,2017, 
찹쌀미숫가루,100.0,386.0,83.6,9,1.7,2017, 
엿기름,100.0,335.0,71.68,14.65,2.71,2017, 
"수수,생것",100.0,243.0,71.5,9.85,2.96,2017, 
수수가루,40.0,152.4,30.92,3.96,1.08,2011, 
시리얼,30.0,116.1,26.1,1.71,0.54,2011, 
하몬트푸레이크,100.0,426.0,78.18,7.3,9.29,2017, 
현미푸레이크,100.0,394.0,85.33,6.8,2.79,2017, 
콘푸로스트,100.0,378.0,88.05,5.11,0.59,2017, 
과즙시리얼,30.0,116.4,26.73,1.59,0.33,2011, 
꿀시리얼,30.0,115.8,27.48,1.35,0.06,2011, 
쌀시리얼,100.0,390.0,86.99,6.65,1.68,2017, 
아몬드시리얼,100.0,426.0,78.18,7.3,9.29,2017, 
코코넛시리얼,30.0,114.6,26.64,1.65,0.15,2011, 
현미시리얼,100.0,394.0,85.33,6.8,2.79,2017, 
라이스크리스피,30.0,111.0,25.98,2.04,0.18,2006, 
코코링,100.0,407.0,85.78,6.08,4.34,2017, 
코코팝스,100.0,407.0,85.78,6.08,4.34,2017, 
코코넛첵스,30.0,113.3,26.64,1.65,0.15,2006, 
콘첵스,100.0,378.0,88.05,5.11,0.59,2017, 
하니팝스,30.0,114.9,27.48,1.35,0.06,2006, 
후르트링,30.0,114.6,26.73,1.59,0.33,2006, 
현미,100.0,164.0,34.3,4.1,1,2017, 
"흑미,생것",100.0,312.0,75.31,7.59,2.31,2017, 
"백미,생것",100.0,345.0,79.5,6.4,0.4,2017, 
"배아미,생것",100.0,357.0,75.8,6.5,2,2017, 
"현미찹쌀,생것",100.0,316.0,75.7,7.3,2.8,2017, 
"현미찹쌀,생것",100.0,361.0,75.7,7.3,2.8,2011, 
"백미찹쌀,생것",100.0,359.0,81.9,7.4,0.4,2017, 
현미밥,100.0,145.0,37.3,3.3,0.2,2017, 
밥,100.0,145.0,33.2,3,0.1,2017, 
백미즉석밥,100.0,144.0,33.59,2.11,0.28,2017, 
누룽지,100.0,374.0,86.8,6.8,0.2,2017, 
